bin_id,name,Avg. NLL,Ensemble Diversity (NLL),Ensemble NLL,Ensemble Accuracy,Total Variance,num_params,ensemble_hyperparameters,ens_size,type,binning,seed,dataset,Num. Params
3,efficientnet-b2--efficientnet-b5-randaug--se_resnext101_32x4d--senet154,1.4011020004219432,0.18875345395502938,1.212348544436777,0.7351,0.053693616054179244,,"{'model_scores': [7, 7, 7, 7], 'model_names': ['efficientnet-b2', 'efficientnet-b5-randaug', 'se_resnext101_32x4d', 'senet154']}",4,het,8,66719,imagenetv2mf,203544202.0
3,pnasnet5large--polynet--se_resnext101_32x4d--senet154,1.4186392813512494,0.24242001198833424,1.1762192693629132,0.7346,0.06593573699267263,,"{'model_scores': [7, 7, 7, 7], 'model_names': ['pnasnet5large', 'polynet', 'se_resnext101_32x4d', 'senet154']}",4,het,8,66719,imagenetv2mf,345468692.0
3,densenet161--pnasnet5large--polynet--senet154,1.4645144950256341,0.28395759820685107,1.1805568968187883,0.7293,0.07610070004649828,,"{'model_scores': [6, 7, 7, 7], 'model_names': ['densenet161', 'pnasnet5large', 'polynet', 'senet154']}",4,het,8,66719,imagenetv2mf,325194276.0
3,efficientnet-b5-randaug--pnasnet5large--polynet--senet154,1.3706510229516184,0.23175811690713335,1.1388929051683678,0.7397,0.06247686972316858,,"{'model_scores': [7, 7, 7, 7], 'model_names': ['efficientnet-b5-randaug', 'pnasnet5large', 'polynet', 'senet154']}",4,het,8,66719,imagenetv2mf,326903060.0
3,FixResNet50_no_adaptation--dpn98--efficientnet-b5-randaug--polynet,1.453859343105572,0.3048758818025415,1.148983459415222,0.7284,0.0805990019773613,,"{'model_scores': [6, 7, 7, 7], 'model_names': ['FixResNet50_no_adaptation', 'dpn98', 'efficientnet-b5-randaug', 'polynet']}",4,het,8,66719,imagenetv2mf,212884168.0
3,densenet161--dpn98--se_resnext101_32x4d--senet154,1.4796693454920502,0.2557303761059242,1.223938969386124,0.7148,0.0700377852781673,,"{'model_scores': [6, 7, 7, 7], 'model_names': ['densenet161', 'dpn98', 'se_resnext101_32x4d', 'senet154']}",4,het,8,66719,imagenetv2mf,254296152.0
4,efficientnet-b0-autoaug--resnet50-vtab--squeezenet1_1--vgg13,1.9547463605296638,0.3695444985169822,1.5852018595160757,0.6491,0.09190085398990566,,"{'model_scores': [6, 6, 5, 6], 'model_names': ['efficientnet-b0-autoaug', 'resnet50-vtab', 'squeezenet1_1', 'vgg13']}",4,het,8,66719,imagenetv2mf,165166702.0
4,densenet121--resnet50-vtab--resnet50-vtab-semi-rotation--squeezenet1_1,2.120884916065382,0.457582577328152,1.6633023356553702,0.6339,0.11470243585175365,,"{'model_scores': [6, 6, 5, 5], 'model_names': ['densenet121', 'resnet50-vtab', 'resnet50-vtab-semi-rotation', 'squeezenet1_1']}",4,het,8,66719,imagenetv2mf,60412144.0
4,densenet121--resnet50-vtab--resnet50-vtab-semi-rotation--vgg13,1.9424681523777956,0.3676569050592395,1.574811244236697,0.6415,0.09695777906359737,,"{'model_scores': [6, 6, 5, 6], 'model_names': ['densenet121', 'resnet50-vtab', 'resnet50-vtab-semi-rotation', 'vgg13']}",4,het,8,66719,imagenetv2mf,192224496.0
4,densenet121--resnet50-vtab--vgg13--deepens_resnet101,1.7575825929742002,0.644817556906808,1.112765033383392,0.7214,0.15223719887313145,,"{'model_scores': [6, 6, 6, 6], 'model_names': ['densenet121', 'resnet50-vtab', 'vgg13', 'deepens_resnet101']}",4,het,8,66719,imagenetv2mf,211170674.0
